"213","SK디스커버리","기타 금융업","006120"
"214","한국전자홀딩스","기타 금융업","006200"
"215","LS","기타 금융업","006260"
"216","녹십자","의약품 제조업","006280"
"217","대원전선","절연선 및 케이블 제조업","006340"
"218","GS건설","건물 건설업","006360"
"219","대구백화점","종합 소매업","006370"
"220","삼성SDI","일차전지 및 축전지 제조업","006400"
"221","인스코비","전기 통신업","006490"
"222","대림통상","기타 금속 가공제품 제조업","006570"
"223","대양제지","펄프 종이 및 판지 제조업","006580"
"224","대한유화","기초 화학물질 제조업","006650"
"225","삼성공조","자동차 신품 부품 제조업","006660"
"226","영풍제지","골판지 종이 상자 및 종이 용기 제조업","006740"
"227","AK홀딩스","기타 금융업","006840"
"228","신송홀딩스","산업용 농ㆍ축산물 및 동ㆍ식물 도매업","006880"
"229","태경화학","기초 화학물질 제조업","006890"
"230","보성파워텍","구조용 금속제품 탱크 및 증기발생기 제조업","006910"
"231","모헨즈","시멘트 석회 플라스터 및 그 제품 제조업","006920"
"232","우성사료","곡물가공품 전분 및 전분제품 제조업","006980"
"233","GS리테일","종합 소매업","007070"
"234","미래아이앤지","컴퓨터 프로그래밍 시스템 통합 및 관리업","007120"
"235","사조산업","어로 어업","007160"
"236","벽산","기타 비금속 광물제품 제조업","007210"
"237","오뚜기","기타 식품 제조업","007310"
"238","디티알오토모티브","일차전지 및 축전지 제조업","007340"
"239","에이프로젠 KIC","기타 금속 가공제품 제조업","007460"
"240","영신금속","기타 금속 가공제품 제조업","007530"
"241","샘표","기타 금융업","007540"
"242","일양약품","의약품 제조업","007570"
"243","동방아그로","비료 농약 및 살균 살충제 제조업","007590"
"244","선도전기","전동기 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","007610"
"245","폴루스바이오팜","통신 및 방송 장비 제조업","007630"
"246","이수페타시스","전자부품 제조업","007660"
"247","대원","건물 건설업","007680"
"248","국도화학","기초 화학물질 제조업","007690"
"249","F&F","봉제의복 제조업","007700"
"250","대명코퍼레이션","상품 종합 도매업","007720"
"251","한일화학","기초 화학물질 제조업","007770"
"252","코리아써키트","전자부품 제조업","007810"
"253","에스엠코어","일반 목적용 기계 제조업","007820"
"254","서연","기타 금융업","007860"
"255","태평양물산","봉제의복 제조업","007980"
"256","사조동아원","곡물가공품 전분 및 전분제품 제조업","008040"
"257","대덕전자","전자부품 제조업","008060"
"258","대동전자","통신 및 방송 장비 제조업","008110"
"259","이건산업","나무제품 제조업","008250"
"260","남선알미늄","1차 비철금속 제조업","008350"
"261","원풍","플라스틱제품 제조업","008370"
"262","서흥","기타 화학제품 제조업","008490"
"263","일정실업","편조원단 제조업","008500"
"264","윌비스","생활용품 도매업","008600"
"265","아남전자","영상 및 음향기기 제조업","008700"
"266","율촌화학","플라스틱제품 제조업","008730"
"267","호텔신라","기타 상품 전문 소매업","008770"
"268","행남사","기타 식품 제조업","008800"
"269","한미사이언스","기타 금융업","008930"
"270","동양철관","1차 철강 제조업","008970"
"271","케이씨티시","도로 화물 운송업","009070"
"272","경인전자","전자부품 제조업","009140"
"273","삼성전기","전자부품 제조업","009150"
"274","SIMPAC","특수 목적용 기계 제조업","009160"
"275","한솔로지스틱스","기타 운송관련 서비스업","009180"
"276","무림페이퍼","펄프 종이 및 판지 제조업","009200"
"277","한샘","생활용품 도매업","009240"
"278","신원","봉제의복 제조업","009270"
"279","광동제약","의약품 제조업","009290"
"280","삼아제약","의약품 제조업","009300"
"281","참엔지니어링","특수 목적용 기계 제조업","009310"
"282","태영건설","토목 건설업","009410"
"283","한올바이오파마","의약품 제조업","009420"
"284","KC그린홀딩스","기타 금융업","009440"
"285","경동나비엔","가정용 기기 제조업","009450"
"286","삼화전기","전자부품 제조업","009470"
"287","한국조선해양","선박 및 보트 건조업","009540"
"288","무림P&P","펄프 종이 및 판지 제조업","009580"
"289","삼보산업","1차 비철금속 제조업","009620"
"290","모토닉","자동차 신품 부품 제조업","009680"
"291","코센","1차 철강 제조업","009730"
"292","삼정펄프","펄프 종이 및 판지 제조업","009770"
"293","엠에스씨","기타 식품 제조업","009780"
"294","엔케이물산","기타 전문 도매업","009810"
"295","한화케미칼","기초 화학물질 제조업","009830"
"296","영원무역홀딩스","기타 금융업","009970"
"297","OCI","기초 화학물질 제조업","010060"
"298","한국프랜지공업","자동차 신품 부품 제조업","010100"
"299","LS산전","전동기 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","010120"
"300","고려아연","1차 비철금속 제조업","010130"
"301","삼성중공업","선박 및 보트 건조업","010140"
"302","대한광통신","절연선 및 케이블 제조업","010170"
"303","흥국","특수 목적용 기계 제조업","010240"
"304","쌍용정보통신","컴퓨터 프로그래밍 시스템 통합 및 관리업","010280"
"305","우진아이엔에스","건물설비 설치 공사업","010400"
"306","오리콤","광고업","010470"
"307","웰바이오텍","상품 중개업","010600"
"308","현대미포조선","선박 및 보트 건조업","010620"
"309","진양폴리우레탄","플라스틱제품 제조업","010640"
"310","화신","자동차 신품 부품 제조업","010690"
"311","평화홀딩스","자동차 신품 부품 제조업","010770"
"312","아이에스동서","내화 비내화 요업제품 제조업","010780"
"313","S-Oil","석유 정제품 제조업","010950"
"314","삼호개발","기반조성 및 시설물 축조관련 전문공사업","010960"
"315","진원생명과학","의약품 제조업","011000"
"316","경동제약","의약품 제조업","011040"
"317","LG이노텍","전자부품 제조업","011070"
"318","에넥스","가구 제조업","011090"
"319","두산건설","건물 건설업","011160"
"320","롯데케미칼","기초 화학물질 제조업","011170"
"321","현대상선","해상 운송업","011200"
"322","현대위아","자동차 신품 부품 제조업","011210"
"323","삼화전자공업","영상 및 음향기기 제조업","011230"
"324","태림포장","골판지 종이 상자 및 종이 용기 제조업","011280"
"325","성안","직물직조 및 직물제품 제조업","011300"
"326","유니크","자동차 신품 부품 제조업","011320"
"327","유니켐","가죽 가방 및 유사제품 제조업","011330"
"328","부산산업","시멘트 석회 플라스터 및 그 제품 제조업","011390"
"329","갤럭시아에스엠","스포츠 서비스업","011420"
"330","세보엠이씨","건물설비 설치 공사업","011560"
"331","유양디앤유","반도체 제조업","011690"
"332","한신기계공업","일반 목적용 기계 제조업","011700"
"333","현대종합상사","상품 종합 도매업","011760"
"334","금호석유화학","기초 화학물질 제조업","011780"
"335","SKC","기타 화학제품 제조업","011790"
"336","STX","상품 종합 도매업","011810"
"337","신성이엔지","반도체 제조업","011930"
"338","DB","컴퓨터 프로그래밍 시스템 통합 및 관리업","012030"
"339","영흥철강","1차 철강 제조업","012160"
"340","키위미디어그룹","영화 비디오물 방송프로그램 제작 및 배급업","012170"
"341","계양전기","일반 목적용 기계 제조업","012200"
"342","경동인베스트","석탄 광업","012320"
"343","현대모비스","자동차 신품 부품 제조업","012330"
"344","뉴인텍","전자부품 제조업","012340"
"345","한화에어로스페이스","항공기 우주선 및 부품 제조업","012450"
"346","더존비즈온","컴퓨터 프로그래밍 시스템 통합 및 관리업","012510"
"347","청호컴넷","일반 목적용 기계 제조업","012600"
"348","경인양행","기초 화학물질 제조업","012610"
"349","원일특강","1차 철강 제조업","012620"
"350","HDC","기타 금융업","012630"
"351","리드코프","기타 전문 도매업","012700"
"352","에스원","경비 경호 및 탐정업","012750"
"353","대창","1차 비철금속 제조업","012800"
"354","모베이스전자","자동차 신품 부품 제조업","012860"
"355","세우글로벌","기타 전문 도매업","013000"
"356","하이록코리아","1차 철강 제조업","013030"
"357","아진산업","자동차 신품 부품 제조업","013310"
"358","일성건설","토목 건설업","013360"
"359","화승알앤에이","자동차 신품 부품 제조업","013520"
"360","디와이","기타 금융업","013570"
"361","계룡건설산업","토목 건설업","013580"
"362","스페코","특수 목적용 기계 제조업","013810"
"363","지엠비코리아","자동차 신품 부품 제조업","013870"
"364","지누스","가구 제조업","013890"
"365","아가방컴퍼니","생활용품 도매업","013990"
"366","보령메디앙스","기타 화학제품 제조업","014100"
"367","한익스프레스","도로 화물 운송업","014130"
"368","원익큐브","기타 전문 도매업","014190"
"369","광림","자동차용 엔진 및 자동차 제조업","014200"
"370","금강공업","1차 철강 제조업","014280"
"371","영보화학","플라스틱제품 제조업","014440"
"372","부방","기타 금융업","014470"
"373","극동유화","석유 정제품 제조업","014530"
"374","백광소재","시멘트 석회 플라스터 및 그 제품 제조업","014580"
"375","성광벤드","1차 철강 제조업","014620"
"376","한솔케미칼","기초 화학물질 제조업","014680"
"377","한라","토목 건설업","014790"
