203,금강철강,[053260],코스닥시장상장법인,241,24511533521,22144558718,96419808955,9.86E+09,1.10E+11,1.35E+11
204,금비,[008870],유가증권시장상장법인,231,98244773877,57250181797,1.04E+11,5.00E+09,1.62E+11,2.60E+11
205,금양,[001570],유가증권시장상장법인,201,1.51E+11,1.35E+11,1.21E+11,22024067500,83130003429,2.34E+11
206,금호산업,[002990],유가증권시장상장법인,411,8.96E+11,7.03E+11,9.45E+11,1.82E+11,0,1.26E+12
207,금호석유화학,[011780],유가증권시장상장법인,201,1.99E+12,1.39E+12,1.33E+12,1.67E+11,2.60E+12,4.59E+12
208,금호에이치티,[214330],유가증권시장상장법인,303,1.26E+11,1.02E+11,1.76E+11,11512858000,1.60E+11,2.86E+11
209,금호전기,[001210],유가증권시장상장법인,284,1.05E+11,95957820606,30652863275,4968590000,32665579771,1.37E+11
210,금호타이어,[073240],유가증권시장상장법인,221,2.84E+12,1.09E+12,1.20E+12,1.44E+12,1.37E+12,4.21E+12
211,금화피에스시,[036190],코스닥시장상장법인,423,35671936450,28753583659,1.64E+11,3.00E+09,2.32E+11,2.68E+11
212,기가레인,[049080],코스닥시장상장법인,292,98078268355,69227522327,70375617107,26138060000,57252039230,1.55E+11
213,기산텔레콤,[035460],코스닥시장상장법인,264,39926106740,34698610152,55345732355,7288670000,32299661250,72225767990
214,기신정기,[092440],유가증권시장상장법인,292,16198644941,12325711678,1.37E+11,1.46E+10,2.35E+11,2.51E+11
215,기아자동차,[000270],유가증권시장상장법인,301,2.67E+13,1.77E+13,2.19E+13,0,2.87E+13,5.54E+13
216,까스텔바작,[308100],코스닥시장상장법인,474,20457661333,18566339222,79667780291,3298350000,75831587167,96289248500
217,깨끗한나라,[004540],유가증권시장상장법인,171,3.91E+11,2.93E+11,1.18E+11,37606853000,1.44E+11,5.35E+11
218,나노,[187790],코스닥시장상장법인,201,50935527812,41911201807,48928888418,12898927500,62064859267,1.13E+11
219,나노메딕스,[074610],유가증권시장상장법인,291,63168885669,26855870951,38766457985,17022682000,46370417714,1.10E+11
220,나노브릭,[286750],코스닥시장상장법인,201,9943849201,4671207566,11176658599,4560103000,14325185224,24269034425
221,나노스,[151910],코스닥시장상장법인,262,60361603510,53069502487,41606507994,0,24730435943,85092039453
222,나노신소재,[121600],코스닥시장상장법인,204,10508896482,7445309172,76798011549,5424166500,92757781762,1.03E+11
223,나노엔텍,[039860],코스닥시장상장법인,271,6245989805,4167751127,25769249824,13146395000,38613395547,44859385352
224,나노캠텍,[091970],코스닥시장상장법인,222,24836321427,24743321427,53172513310,11989901000,74685677759,99521999186
225,나라엠앤디,[051490],코스닥시장상장법인,292,1.22E+11,99984360102,1.12E+11,7.23E+09,81031230385,2.03E+11
226,나무가,[190510],코스닥시장상장법인,262,1.70E+11,1.61E+11,1.26E+11,1913982000,31224855242,2.01E+11
