"","com_code","bs_19_3","is_19_3","cf_19_3"
"61","001530","9.86765e+11_5.26345e+11_4.6042e+11_3.4671e+11_28354923935_6.40055e+11_3.19199e+11_5.18779e+11","NA_NA_NA_NA_NA_12809809136_14016243127_NA","36756522270_-25151777421_-13929343937"
"62","001540","2.16835e+11_1.4751e+11_69325721741_1.50482e+11_26522533984_66353376306_55346220333_1.29007e+11","38741754145_19177431456_19564322689_1786106427_287601763_1498504664_1486661920_89","22138627792_-21652691349_4242970483"
"63","001560","98917621714_80835239504_18082382210_53169603857_18584009451_45748017857_14197484559_81896967789","20280182419_16145974020_4134208399_1922423868_321777451_1600646417_1547756267_213","7076070758_-2471010802_-4820933350"
"64","001570","2.34003e+11_83130003429_1.50873e+11_1.20879e+11_28079856852_1.13125e+11_1.35126e+11_39758724664","43511411804_35123693091_8387718713_996051375_458776943_537274432_536603579_14","2456543708_-10880722551_11648288978"
"65","001620","5.66987e+11_1.81755e+11_3.85233e+11_2.04343e+11_40477870154_3.62644e+11_3.492e+11_1.36989e+11","1.43073e+11_1.36192e+11_6880840398_459920960_921977107_-462056147_-6147079183_-8","41853391884_-43419172140_1729625451"
"66","001630","1.02888e+12_7.25642e+11_3.03235e+11_3.29936e+11_32120013817_6.9894e+11_1.9583e+11_2.7058e+11","NA_NA_NA_NA_NA_23329040993_NA_NA","95362312075_-1.49999e+11_52017659012"
"67","001680","2.35161e+12_1.01131e+12_1.3403e+12_9.99386e+11_2.5217e+11_1.35223e+12_8.01866e+11_7.12507e+11","7.83744e+11_5.77343e+11_2.06401e+11_30110982968_7765077722_22345905246_30549169443_610","1.13254e+11_-13257525182_-26378280985"
"68","001740","1.0717e+13_2.47842e+12_8.23861e+12_3.47104e+12_9.22205e+11_7.24599e+12_4.97289e+12_9.79163e+11","3.87365e+12_3.53017e+12_3.43474e+11_4.8713e+10_1.1366e+10_3.8188e+10_4.0334e+10_NA","6.35247e+11_-3.05286e+11_1.04439e+11"
"69","001780","7.83518e+11_2.91756e+11_4.91762e+11_2.8294e+11_29523974215_5.00578e+11_3.95267e+11_81519114771","1.16759e+11_1.01811e+11_14947866899_-1011512773_-873855803_-137656970_6942556749_-8","35782421002_-26413734319_840583"
"70","001790","1.16073e+12_4.54441e+11_7.06287e+11_5.25106e+11_77408887000_6.35623e+11_4.26379e+11_2.39891e+11","3.16838e+11_2.80781e+11_36056581000_4829026000_1465189000_3363837000_3219123000_387","-14106900000_-1641691000_11416784000"
"71","001800","4.36441e+12_3.33585e+12_1.02856e+12_7.11689e+11_1.88842e+11_3.65272e+12_4.2864e+11_1.4208e+11","5.55822e+11_3.02307e+11_2.53515e+11_89469588594_29990823489_59478765105_76374574634_363","2.49828e+11_-1.96629e+11_-1.29284e+11"
"72","001810","2.9762e+11_2.07489e+11_90130485668_88411002388_33048417082_2.09209e+11_40063547310_1.41301e+11","33789120687_30745848803_3043271884_-414829640_-54641055_-360188585_-983176039_-16","1346692261_3590879569_-7143194149"
"73","001820","2.11265e+11_1.55991e+11_55273668125_1.07379e+11_18458403977_1.03886e+11_46768692686_1.32617e+11","60944208129_48899144111_12045064018_6781175789_1279060259_5502115530_5477305406_529","16694312590_-19084152595_-4166680546"
"74","001940","1.56155e+12_1.32453e+12_2.37026e+11_1.11612e+12_1.23477e+11_4.45435e+11_2.00921e+11_5.64899e+11","2.90902e+11_2.5842e+11_32481748431_23693855366_3930628381_19763226985_19286832381_778","27622769008_-63760416532_-1288594183"
"75","002020","3.72361e+12_7.62053e+11_2.96156e+12_1.36545e+12_1.57199e+11_2.35816e+12_1.98079e+12_2.23055e+11","1.09715e+12_9.79153e+11_1.18001e+11_14015827175_5199343794_8816483381_3035493702_NA","97704221473_-42320191927_-39974115896"
"76","002030","2.88262e+12_1.4464e+12_1.43622e+12_6.56048e+11_1.59744e+11_2.22657e+12_3.53198e+11_9.43684e+11","3.68942e+11_2.88159e+11_80783026079_32351143246_9992508158_22358635088_22484885355_6221","1.69107e+11_-1.25096e+11_-98830941613"
"77","002070","1.47165e+11_1.02442e+11_44722368034_82124183929_13194571915_65040613278_34167169436_74909546754","53982822660_23112051261_30870771399_-1178016359_-4400240385_3222224026_3021810193_NA","13133749946_3215127645_-6637310531"
"78","002100","4.03244e+11_2.08446e+11_1.94798e+11_2.14497e+11_3901367003_1.88747e+11_1.40904e+11_1.39556e+11","30653495733_24371597751_6281897982_-9442175920_-928153276_NA_NA_-420","-50560543615_757577513_40982960836"
"79","002140","2.18211e+11_94077261999_1.24134e+11_1.20594e+11_16203777080_97616777765_1.09147e+11_66460897240","47821712168_39734019097_8087693071_1450411260_392248244_1058163016_1044745264_43","-6502043212_3152247364_1550725607"
"80","002150","4.02645e+11_2.50105e+11_1.5254e+11_1.67528e+11_45931626607_2.35117e+11_1.40552e+11_2.03915e+11","1.0428e+11_NA_NA_-3596163031_-826840633_-2769322398_-2697876136_-83","11308623963_-7469466903_-8462322537"
"81","002170","3.55144e+11_3.17648e+11_37496668304_2.60578e+11_8770050117_94565792739_23791877626_2.61751e+11","NA_NA_NA_NA_NA_11497887818_11487088377_NA","38143191552_-36239120597_-4209359253"
"82","002200","3.03467e+11_2.43119e+11_60348271462_92396080470_27532553065_2.11071e+11_37653391869_2.05003e+11","68105801431_55689140273_12416661158_5033446437_222786984_4810659453_4724102853_1203","23914081378_-7124477472_-7172759821"
"83","002220","3.32785e+11_1.53439e+11_1.79347e+11_89218467055_10257969068_2.43567e+11_1.03538e+11_1.32556e+11","42126251048_40904257579_1221993469_-2571640251_-18604823_-2553035428_-2377139305_-129","-4142755324_-17456445778_25637084844"
"84","002230","1.71202e+11_1.46295e+11_24906745181_1.12842e+11_48045605765_58359684599_10907768963_1.18761e+11","11353370582_9824273058_1529097524_624020846_-11652055_635672901_635672901_33","-134959870_9421136927_5376544315"
"85","002240","2.39912e+12_1.5104e+12_8.88717e+11_9.4747e+11_1.03056e+11_1.45165e+12_6.35296e+11_1.40953e+12","4.03216e+11_3.57746e+11_45470211666_10430647674_4289891696_6140755978_18782879505_270","37364264851_-50471650868_-38890662485"
"86","002300","7.22151e+11_4.63647e+11_2.58504e+11_3.53196e+11_9571313814_3.68955e+11_2.04597e+11_3.87507e+11","1.72696e+11_1.55063e+11_17633612877_-21411232159_-1917943274_-19493288885_-19394060569_-4102","34646323688_-14798096343_-17997296724"
"87","002310","8.40863e+11_5.7738e+11_2.63482e+11_2.63802e+11_72580537016_5.77061e+11_1.26e+11_2.97075e+11","1.76597e+11_1.37053e+11_39544120845_22151820009_4689245045_17462574964_17438129824_1950","81227452214_-78540297610_-13540532448"
"88","002320","3.52445e+12_1.03938e+12_2.48506e+12_4.27294e+11_1.40146e+11_3.09715e+12_5.50913e+11_5.66205e+11","5.42682e+11_4.97426e+11_45256511983_-4722609513_2275618997_-6998228510_-9331830866_-453","1.4565e+11_-68026830460_-1.05884e+11"
"89","002350","3.43552e+12_1.52457e+12_1.91095e+12_1.08515e+12_1.0065e+11_2.35037e+12_6.24786e+11_1.37246e+12","5.35132e+11_3.74402e+11_1.6073e+11_42464962909_16224249548_26240713361_25865883752_255","1.5944e+11_-1.78453e+11_-22161558257"
"90","002360","1.2568e+11_1.02217e+11_23462969642_85865829208_33797545425_39813760049_7578318371_39286845887","36237168871_34052356177_2184812694_195245930_53481384_141764546_388308510_2","10329046528_-7718551700_1817026112"
"91","002380","9.11015e+12_5.49144e+12_3.61871e+12_2.508e+12_2.94467e+11_6.60214e+12_2.06109e+12_5.16789e+12","8.20178e+11_6.34268e+11_1.85909e+11_-1.08539e+11_13937898260_-94600850415_-79172924057_-9653","1.80136e+11_-6.9677e+11_4.69516e+11"
"92","002390","7.16837e+11_3.31131e+11_3.85706e+11_2.90421e+11_22221039688_4.26416e+11_3.04212e+11_2.49239e+11","NA_NA_NA_NA_NA_16573441319_17764220922_NA","1222529302_-56759170695_45105677443"
"93","002410","1.38912e+11_59025757891_79886620103_85135335708_12884242129_53777042286_50384978782_-2747147670","79797019868_72939179369_6857840499_5017217690_530259187_4486958503_3963689243_181","2535692647_-8679358767_-3621294026"
"94","002450","6.16379e+11_2.34546e+11_3.81832e+11_1.77143e+11_22169807013_4.39236e+11_1.49584e+11_1.84794e+11","59089470927_39944363032_19145107895_3527532191_-205995503_3733527694_7543145264_45","2393708667_-1888535580_-10030688662"
"95","002620","8.96639e+11_5.94474e+11_3.02165e+11_3.17922e+11_24339235887_5.78717e+11_2.52697e+11_2.66511e+11","1.82102e+11_1.34168e+11_47933396283_5076409494_2195903626_2880505868_2270350495_NA","22502320778_-3208605020_-36300737284"
"96","002630","71779804233_54612439574_17167364659_20260803880_4265015562_51519000353_10486449142_-68488400503","10462912521_6688500679_3774411842_-1139838709_NA_-1139838709_NA_-4","-3428587042_248904868_-1730113893"
"97","002680","1.41904e+11_39159263554_1.02745e+11_63586511540_9746900057_78317288520_75231516274_-6940790859","20367305659_18288532693_2078772966_-3782707560_-637718026_-3144989534_-2180236372_-161","-5067720107_-6309999208_8632530852"
"98","002710","3.19349e+11_1.15913e+11_2.03436e+11_1.59741e+11_15607063610_1.59608e+11_99904627794_73226613046","1.09702e+11_1.01282e+11_8420520350_1875217287_499477819_1375739468_2198399789_65","-11077404634_-9478926093_12382846015"
"99","002720","1.33505e+11_63841074970_69663750937_58258486238_1575615112_75246339669_54945932577_2366653140","26079889791_13772080358_12307809433_1247914782_411742782_836172000_811371763_48","-83511848_-4412770164_2411754148"
"100","002790","8.08873e+12_6.36388e+12_1.72485e+12_2.64634e+12_1.27638e+12_5.44238e+12_1.21033e+12_2.67438e+12","1.57042e+12_4.07396e+11_1.16303e+12_1.5932e+11_47065970760_1.12254e+11_1.17678e+11_518","6.05853e+11_-2.22649e+11_-4.14451e+11"
"101","002800","1.29556e+11_56382008753_73173890573_47803673456_559944215_81752225870_31187728556_34332397718","17563770410_11481307891_6082462519_646332062_-20836330_667168392_676703053_47","-9440698278_-16662519652_24767756074"
"102","002810","4.03086e+11_3.55459e+11_47626794262_2.37787e+11_18421106816_1.65299e+11_28326506317_3.17673e+11","63355453328_57780543668_5574909660_10122877938_1717672401_8405205537_8878553036_487","1910372898_1126994749_-8218981248"
"103","002820","5.71881e+11_2.3665e+11_3.35231e+11_2.18169e+11_41408966622_3.53712e+11_2.39507e+11_1.15521e+11","1.11469e+11_1.07295e+11_4173716024_-11220111757_-812605736_-10407506021_-10529051350_-818","15339433710_-28885370226_-17016114863"
"104","002840","2.72665e+11_2.20541e+11_52123947019_1.18117e+11_8479831698_1.54547e+11_37395927891_1.77086e+11","62934729792_48412875084_14521854708_12322380525_2902087862_9420292663_8442321249_NA","7307885568_-30241287516_8379362170"
"105","002870","1.73984e+11_58737040316_1.15247e+11_90594242797_24642774876_83389357344_1.07881e+11_50133661432","41286703246_33263084020_8023619226_3645472009_0_3645472009_3626922363_131","11177232565_-2885303687_-4725644188"
"106","002880","1.0061e+12_1.77324e+11_8.28771e+11_4.44273e+11_32654359313_5.34619e+11_6.77991e+11_-18112334142","3.48105e+11_2.88442e+11_59662625888_1107597207_944517607_153756072_NA_-23","-59347907889_-51375976479_1.01502e+11"
"107","002900","6.5522e+11_1.13357e+11_5.41864e+11_4.34829e+11_21204891293_2.20391e+11_3.9994e+11_52009786210","1.37275e+11_1.14778e+11_22496235345_1161990648_47046523_1114944125_1211663627_-2","-28746801244_-10370270833_37777103714"
